work_title,author,editor,date,bookid,booktitle,index_paragraph,latin_text,italian_text,english_text
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,1,"Γενεὴ ενεὴ δικαίων ἦν τὸ πρῶτον ἀνθρώπων,
ὡ Βράγχε τέκνον, ἥν καλοῦσι χρυσείην.
∗ ∗ ∗ ∗ ∗ ∗ ∗ ∗ ∗ ∗
τρίτη δʼ ἀπʼ αὐτῶν τις ἐγενήθη χαλκείη,
μεθʼ ἥν γενέσθαι φασὶ θείαν ἡρώων.
       

       πέμπτη σιδηρᾶ ῥίζα καὶ γένος χεῖρον.
ἐπὶ τῆς δὲ χρυσῆς καὶ τὰ λοιπὰ τῶν ζῴων
φωνὴν ἔναρθρον εἶχε καὶ λόγους ᾔδει·
ἀγοραὶ δὲ τούτων ἡσαν ἐν μέσαις ὕλαις.
ἐλάλει δὲ πέτρα καὶ τὰ φύλλα τῆς πεύκης,
       

       ἐλάλει δὲ πόντος, Βράγχε, νηὶ καὶ ναύτῃ,
στρουθοὶ δὲ συνετὰ πρὸς γεωργὸν ὡμίλουν
ἐφύετʼ ἐκ γἦς πάντα μηδὲν αἰτούσης,
θνητῶν δʼ ὑπῆρχε καὶ θεῶν ἑταιρείη.
μάθοις δʼ ἂν οὕτω ταῦτʼ ἔχοντα καὶ γνοίης
       

       ἐκ τοῦ σοφοῦ γέροντος ἡμῶν Αἰσώπου
μύθους φράσαντος τῆς παλαιτέρας μούσης.
ών νῦν ἕκαστον ἵνα θέῃς ἐνὶ μνήμῃ
μελισταγές σοι, λῷστε, κηρίον θήσω,
πικρῶν ἰάμβων σκληρὰ κῶλα συνθλάσας.","Generazione di giusti giusti nel primo essere umano,
Un bambino era un bambino, un bravo bambino dorato.
∗ ∗ ∗ ∗ ∗ ∗ ∗ ∗
Martedì da non essere scolpito,
Sei nato un affascinante divino di eroi.
 Giovedì ferro e genere.
all'oro e al resto dei vivi
La voce ha avuto ragioni ᾔ ᾔ ᾔ ᾔ ᾔ
Non piacevano loro.
Accendi due pietre e le foglie di pino,
 Guarda sia Pontus, Brigg, Neo e Salvatore,
struzzo e lontano per un agricoltore
Sono sempre uno zero di avviso,
C'era un mortale e la dea.
Quelli che non hanno il
 Nel vecchio saggio
Miti della frattura di quello vecchio.
Sei un ricordo di ognuno
Melista di te, lis, kerion thyo,
marmellate amare.","Generation of righteous righteous in the first human being,
A child was a child, a good golden child.
∗ ∗ ∗ ∗ ∗ ∗ ∗ ∗
Tuesday not to be carved out of it,
You are born a fascinating divine of heroes.
 Thursday iron and genus.
to the gold and the rest of the living
Voice Has he had reasons ᾔ ᾔ ᾔ ᾔ ᾔ ᾔ
They did not like them.
Slies two stone and the leaves of pine,
 Look at both Pontus, Brigg, Neo and Savior,
ostrich and far -fashioned for a farmer
I am always a zero of alert,
There was a mortal and the goddess.
Those who do not have the
 In the wise old man
Myths of the fracture of the old one.
You are a memory of each one
Melistas of you, Lis, Kerion Thyo,
bitter jams."
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,2,"Ἄνθρωπος ἦλθεν εἰς ὄρος κυνηγήσων,
τόξου βολῆς ἔμπειρος· ἦν δὲ τῶν ζῴων
       

       φυγή τε πάντων καὶ φόβου δρόμος πλήρης.
λέων δὲ μοῦνος προὐκαλεῖτο θαρσήσας
       

       αὐτῷ μάχεσθαι. ,,μεῖνον“ εἶπε, ,,μὴ σπεύσῃς
ἄνθρωπος αὐτῷ, ,,μηδʼ ἐπελπίσῃς νίκῃ·
τῷ δʼ ἀγγέλῳ μου πρῶτον ἐντυχών γνώσῃ
τί σοι πτοητόν ἐστιν. εἶτα τοξεύει
μικρὸν διαστάς. χώ μὲν οἰστὸς ἐκρύφθη
       

       λέοντος ὑγραῖς χολάσιν· ὁ δὲ λέων δείσας
ῶρμησε φεύγειν ἐς νάπας ἐρημαίας.
τούτου δʼ ἀλώπηξ οὐκ ἄπωθεν εἰστήκει.
ταύτης δὲ θαρσεῖν καὶ μένειν κελευούσης,
,,οὔ με πλανήσεις· φησίν, ,,οὐδʼ ἐνεδρεύσεις·
       

       ὅπου γὰρ οὕτω πικρὸν ἄγγελον πέμπει,
πῶς αὐτὸς ἤδη φοβερός ἐστι γιγνώσκω.“","L'uomo viene a cacciare cacce,
arco arco sulla scia del bagaglio; se i vivi


Fare completamente tutto il modo.
Leo Dinos
 Questo è ciò che combatti.,, Me.
Uomo di esso ,,, senza vittorie vincenti;
il mio angelo prima di tutte le conoscenze
Che ostacolo ad Austin.Quindi è risolto
Poca dimensione.Sono stato nascosto
 leone dei polli;
Stava andando per Napa.
Questo non è il caso.
Questo non è il caso e un telecomando
,, ὔ con aerei; Fesin ,,;
 Ovunque sia nutrito l'angelo amaro,
Come si ottiene già molto inquietante. ""","Man come to hunting hunts,
arc arc in the wake of the luggage; if the living


FWressing all the way full way.
Leo Dinos
 That is what you fight.,, me.
Man of it,,, of no winning wins;
my angel first of all the knowledge
What a hindrance in Austin.then it is settled
Little dimension.I have been hidden
 lion of chickens;
He was leaving for Napa.
This is not the case.
This is not the case and a remote
,, ὔ with planes; fesin,,;
 Wherever the bitter Angel is fed,
How do you already get a great deal of haunting. """
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,3,"Ὅνι δεῖ ἐκ τῶν προσφερομένων γινώσκειν τὴν ἑκάστου διάθε.
σιν. καὶ ὅτι ἡ σοφία τῆς δυνάμεως διαφέρει.","Non è il caso di quelli offerti.
Peccato.E che la saggezza del potere è diversa.","It is not the case with those offered.
Sin.And that the wisdom of the power is different."
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,4,"Ἀνὴρ γεωργὸς ἀμπελῶνα ταφρεύων
καὶ τὴν δίκελλαν ἀπολέσας ἐπεζήτει,
μὴ τῶν παρόντων τις ὑπέκλεψεν ἀγροίκων.
ἠρνεῖθʼ ἕκαστος. οὐκ ἔχων δʼ ὃ ποιήσει,
       

       εἰς τὴν πόλιν κατῆγε πάντας ὁρκώσων·
τῶν γὰρ θεῶν δοκοῦσι τοὺς μὲν εὐήθεις
ἀγρούς κατοικεῖν, τοὺς δʼ ἐσωτέρω τείχους
εἶναί τʼ ἀληθεῖς καὶ τὰ πάντʼ ἐποπτεύειν.
ὡς δʼ εἰσιόντες τὰς πύλας ἐπὶ κρήνης
       

       τούς πόδας ἔνιζον κἀπέθεντο τὰς πήρας,
κῆρυξ ἐφώνει χιλίας ἀριθμήσειν
μήνυτρα σύλων ὧν ὁ θεὸς ἐσυλήθη.
ὁ δὲ τοῦτʼ ἀκούσας εἶπεν ,ὡς μάτην ἥκω·
κλέπτας γὰρ ἄλλους πῶς θεός γʼ ἂν εἰδείη,
       



       ὅς τοὺς ἑαυτοῦ φῶρας οὐχὶ γιγνώσκει,
ζητεῖ δὲ μισθοῦ μή τις οἶδεν ἀνθρώπων;“","Un contadino
e la banca di Dikellan Apassa,
Con il presente della gente.
Ognuno.OK.
 In città, era fino in fondo;
degli dei del raggio di me
Abitato, le pareti sopra
Sono la verità e il tutto.
Come il cancello del cancello sulla fontana
 I piedi erano di fronte a te, hai ottenuto,
Kyryx sta lasciando migliaia di
Cantanti dei cantanti di Dio.
ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ
Ladro


 ο ο ο ο ο ο ο ο ο
Chiedete uno stipendio non persone? ""","A farmer
and Dikellan Apassa's bank,
With the present of the people.
Each one.Ok.
 In the city, it was all the way;
of the gods of the beam of me
Inhabited, the walls above
They are the truth and the everything.
As the Gate of the Gate on Fountain
 the feet were in the face of you, you got,
Kyryx is leaving thousands of
Singers of the Singers of God.
ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ
Thief


 ο ο ο ο ο ο ο ο ο ο
Do you ask for a salary of not people? """
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,5,"Ὅτι χρὴ ἀπιστεῖν τοῖς ὑπισχνουμένοις ὧν οὐκ εἰσὶ δεσπιστά
(δεσπόται?).","Cosa devi fare
(Despota?).","What do you have to do
(Despot?)."
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,6,"Αἶγάς ποτʼ εἰς ἔπαυλιν αἰπόλος κλῇζων
[ἐπὶ σηκὸν ἄγειν θʼ, ὡς αἱ μὲν ἡλθον, αἱ δʼ οὔπω,]
μιᾶς ἀπειθοῦς ἐν φάραγγι τρωγούσης
κόμην γλυκεῖαν αἰγίλου τε καὶ σχίνου
       

       τὸ κέρας κατῆξε μακρόθεν λίθῳ πλήξας.
τὴν δʼ ἱκέτευε ,,μή, χίμαιρα συνδούλη,
πρὸς τοῦ σε Πανός, ὃς νάπας ἐποπτεύει,
τῷ δεσπότῃ, χίμαιρα, μή με μηνύσῃς·
ἄκων γὰρ ηὐστόχησα τὸν λίθον ῥίψας.
       

       ἡ δʼ εἶπε ,,καὶ πῶς ἔργον ἐκφανὲς κρύψω;
τὸ κέρας κέκραγε, κἄν ἐγὼ σιωπήσω.“","Vaso di un comparatore di bagagli
[Nel mezzo di un grado, di fatto, uno per uno,]]
una gola del faro della gola
Kondon Glykein Aegilo e Schinos
 Il corno è stato a lungo una pietra piena.
Non lo fece, di no.
a Panos a Panos, poiché Napa è vittima di bullismo,
il despota, chimera, non me con me;
Non avevo la pietra.
 Ha detto, e come mi nascondo?
Il corno della torta, e sono in silenzio. ""","Pot of a luggage comparter
[In the midst of a rank, as a matter of fact, one by one,]]
a throat of the throat lighthouse
Kondon Glykein Aegilo and Schinos
 The horn has long been a full -bodied stone.
He did not, of no.
to Panos to Panos, as Napa is bullied,
the Despot, Chimera, not me with me;
I did not have the stone.
 Did he say, and how do I hide?
The horn of the cake, and I am silent. """
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,7,Ὅτι τὰ δημοσίᾳ ἁμαρτηθέντα κατʼ οὐδένα τρόπον χρὴ κρύπτειν.,Che il pubblico pecca in modo da nascondersi.,That the public sins in a way of hiding.
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,8,"Ἁλιεὺς σαγήνην, ἣν νεωστὶ βεβλήκει,
ἀνείλετʼ· ὄψου δʼ ἔτυχε ποικίλου πλήρης.
τῶν δʼ ἐχθύων ὁ λεπτὸς εἰς βυθὸν φεύγων
ὑπεξέδυνε δικτύου πολυτρήτου,
       

       ὁ μέγας δʼ ἀγρευθεὶς εἰς τὸ πλοῖον ἡπλώθη.","Suns of Skilin, se il giovane è oltre,
Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
della fontana ὁ sottile
Outfall una rete polytrite,
 I grandi drink alla nave.","Suns of Skilin, if the young man is beyond,
Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
of the fountain ὁ thin
Outfall a Polytrite Network,
 The Great Drinks to the ship."
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,9,"σωτηρία πώς ἐστι καὶ κακῶν ἔξω
τὸ μικρὸν εἶναι· τὸν μέγαν δὲ τῇ δόξῃ
σπανίως ἴδοις ἄν ἐκφυγόντα κινδύνους.","Salvezza come entrare e male
il piccolo è; la gloria della gloria
Raramente gli stessi pericoli.","Salvation how in and bad out
the little one is; the glory of glory
Rarely the same dangers."
FabulaeAesopeae,Babrius,KarlHalm,2016,1,BABPIOYΜΥΘΙΑΜΒΟΙΑΙΣΩΠΕΙΟΙ.,10,"Ἀλεκτορίσκων ἠν μάχη αναγραίων,
οἷς θυμὸν εἶναί φασιν οἷον ἀνθρώποις.
τούτων ὁ λειφθείς (τραυμάτων γὰρ ἦν πλήρης)
ἔκυπτʼ ἐς οἴκου γωνίην ὑπʼ αἰσχύνης·
       

       ὁ δʼ ἄλλος εὐθύς εἰς τὸ δῶμα πηδήσας
       

       ἐπικροτῶν τε τοῖς πτεροῖς ἐκεκράγει.
καὶ τὸν μὲν αἰετός τις ἐκ στέγους ἄρας
ἀπῆλθʼ ὁ δʼ ἄλλος ἀμφέβαινε θηλείαις,
ἀμείνονα σχὼν τἀπίχειρα τῆς ἥττης.","Attori in una battaglia dell'abolizione,
La rabbia è un uomo affascinante.
di questi ὁ bonus (ferite per pieno)
Epistola ad un angolo dell'impulso;
 ὁ ὐ ὐ ὐ ʼ ʼ


È un dato di fatto.
e uno dei tetti guadagnati del tempo
ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ
Apostolo della sconfitta della sconfitta.","Actors in a battle of the Abolition,
The anger is a fascinating man.
of these ὁ bonuses (wounds for full)
Epistle to a corner of the urge;
 ὁ ὐ ὐ ὐ ʼ ʼ ʼ


It is a matter of fact.
and one of the earted roofs of Time
ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ
Apostle of the defeat of the defeat."
