title,div_id,div_2_id,index_paragraph,index_annotation,mention,mention_without_space,thezoo_uri,id_concept,concept,start,end,annotation_lang,score,category
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_1,1,1.0_it,tanti auguri,tanti_auguri,, ,http://it.dbpedia.org/resource/Amoa,206,209,it,0.8462523192703114,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_1,1,1.1_it,tanti auguri,tanti_auguri,, ,http://it.dbpedia.org/resource/Amoa,221,224,it,0.8462523192703114,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_1,1,1.0_en,city,city,, ,http://dbpedia.org/resource/City,191,194,en,0.8235715153323679,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_4,1,1.0_it,calciano,calciano,, ,http://it.dbpedia.org/resource/Calciano,20,22,it,0.9996683188615029,"Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:PopulatedPlace"
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_5,1,1.0_en,ascetic,ascetic,, ,http://dbpedia.org/resource/Asceticism,57,59,en,0.9939852035143025,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_8,1,1.0_en,city,city,, ,http://dbpedia.org/resource/City,15,17,en,0.7451734981109468,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_8,1,1.1_en,cavalry,cavalry,, ,http://dbpedia.org/resource/Cavalry,163,166,en,0.935320876511493,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_11,1,1.0_it,equitazione,equitazione,<https://opentheso.huma-num.fr/?idc=pcrtZaXSiqHU8Q&idt=th310>,pcrtZaXSiqHU8Q,http://it.dbpedia.org/resource/Equitazione,65,67,it,0.9999746793483599,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_12,1,1.0_it,fai,fai,, ,http://it.dbpedia.org/resource/Federazione_anarchica_italiana,94,96,it,0.7295521353926716,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_12,1,1.1_it,pirati,pirati,, ,http://it.dbpedia.org/resource/Pirateria,179,182,it,0.9991815265502033,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_15,1,1.0_en,misdemeanor,misdemeanor,, ,http://dbpedia.org/resource/Misdemeanor,231,234,en,0.9999999446600343,
OntheCavalryCommanderfromMinorWorks(Greek).Machinereadable					text,chapter_1,section_17,1,1.0_it,lodano,lodano,, ,http://it.dbpedia.org/resource/Lodano,216,219,it,0.9894038107301031,"Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:PopulatedPlace"
