work_title,author,editor,date,bookid,booktitle,index_paragraph,latin_text
,,,,1,,1,"ἃ μὲν γὰρ ἐν ταῖς θυσίαις οἱ μάταιοι
πράττουσι καὶ ταῖς ἑορταῖς καὶ προσόδοις τῶν θεῶν
καὶ ἃ αἰτοῦσι καὶ ἃ εὔχονται καὶ ἃ γιγνώσκουσι περὶ αὐτῶν, οὐκ οἶδα εἴ τις οὕτως κατηφής ἐστι καὶ λελυπημένος ὅστις οὐ γελάσεται τὴν
ἀβελτερίαν· ἐπιβλέψας τῶν δρωμένων. καὶ πολύ γε,
οἶμαι, πρότερον τοῦ γελᾶν πρὸς ἑαυτὸν ἐξετάσει
πότερον εὐσεβεῖς αὐτοὺς χρὴ καλεῖν ἢ τοὐναντίον θεοῖς ἐχθροὺς καὶ κακοδαίμονας, οἵ γε οὕτω ταπεινὸν καὶ ἀγεννὲς τὸ θεῖον ὑπειλήφασιν ὥστε
εἶναι ἀνθρώπων ἐνδεὲς καὶ κολακευόμενον ἥδεσθαι καὶ ἀγανακτεῖν ἀμελούμενον. τὰ γοὺν Αἰτωλικὰ πάθη καὶ τὰς τῶν Καλυδωνίων συμφορὰς καὶ τοὺς τοσούτους φόνους καὶ τὴν Μελεάγρου διάλυσιν, πάντα ταῦτα ἔργα φασὶν εἶναι τῆς Ἀρτέμιδος μεμψιμοιρούσης ὅτι
μὴ παρελήφθη πρὸς τὴν θυσίαν ὑπὸ τοῦ Οἰνέως·
οὕτως ἄρα βαθέως καθίκετο αὐτῆς ἡ τῶν ἱερείων
διαφορά καί μοι δοκῶ ὁρᾶν αὐτὴν ἐν τῷ
οὐρανῷ τότε μόνην τῶν ἄλλων θεῶν εἰς Οἰνέως
πεπορευμένων, δεινὰ ποιοῦσαν καὶ σχετλιάζουσαν οἵας ἑορτῆς ἀπολειφθήσεται."
,,,,2,,1,"ἃ μὲν γὰρ ἐν ταῖς θυσίαις οἱ μάταιοι
πράττουσι καὶ ταῖς ἑορταῖς καὶ προσόδοις τῶν θεῶν
καὶ ἃ αἰτοῦσι καὶ ἃ εὔχονται καὶ ἃ γιγνώσκουσι περὶ αὐτῶν, οὐκ οἶδα εἴ τις οὕτως κατηφής ἐστι καὶ λελυπημένος ὅστις οὐ γελάσεται τὴν
ἀβελτερίαν· ἐπιβλέψας τῶν δρωμένων. καὶ πολύ γε,
οἶμαι, πρότερον τοῦ γελᾶν πρὸς ἑαυτὸν ἐξετάσει
πότερον εὐσεβεῖς αὐτοὺς χρὴ καλεῖν ἢ τοὐναντίον θεοῖς ἐχθροὺς καὶ κακοδαίμονας, οἵ γε οὕτω ταπεινὸν καὶ ἀγεννὲς τὸ θεῖον ὑπειλήφασιν ὥστε
εἶναι ἀνθρώπων ἐνδεὲς καὶ κολακευόμενον ἥδεσθαι καὶ ἀγανακτεῖν ἀμελούμενον. τὰ γοὺν Αἰτωλικὰ πάθη καὶ τὰς τῶν Καλυδωνίων συμφορὰς καὶ τοὺς τοσούτους φόνους καὶ τὴν Μελεάγρου διάλυσιν, πάντα ταῦτα ἔργα φασὶν εἶναι τῆς Ἀρτέμιδος μεμψιμοιρούσης ὅτι
μὴ παρελήφθη πρὸς τὴν θυσίαν ὑπὸ τοῦ Οἰνέως·
οὕτως ἄρα βαθέως καθίκετο αὐτῆς ἡ τῶν ἱερείων
διαφορά καί μοι δοκῶ ὁρᾶν αὐτὴν ἐν τῷ
οὐρανῷ τότε μόνην τῶν ἄλλων θεῶν εἰς Οἰνέως
πεπορευμένων, δεινὰ ποιοῦσαν καὶ σχετλιάζουσαν οἵας ἑορτῆς ἀπολειφθήσεται."
,,,,2,,1,"τοὺς δʼ αὖ Αἰθίοπας καὶ μακαρίους καὶ τρισευδαίμονας εἴποι τις ἄν, εἴ γε ἀπομνημονεύει τὴν χάριν αὐτοῖς ὁ Ζεὺς ἣν πρὸς αὐτὸν ἐπεδείξαντο δώδεκα ἑξῆς ἡμέρας ἑστιάσαντες, καὶ ταῦτα ἐπαγόμενον καὶ τοὺς ἄλλους θεούς.
οὕτως οὐδέν, ὡς ἔοικεν, ἀμισθὶ ποιοῦσιν ὧν
ποιοῦσιν, ἀλλὰ πωλοῦσιν τοῖς ἀνθρώποις τἀγαθά, καὶ ἔνεστι πρίασθαι παρʼ αὐτῶν τὸ μὲν ὑγιαίνειν,
εἰ τύχοι, βοϊδίου, τὸ δὲ πλουτεῖν βοῶν τεττάρων,
τὸ δὲ βασιλεύειν ἑκατόμβης, τὸ δὲ σῶον ἐπανελθεῖν ἐξ Ἰλίου εἰς Πύλον ταύρων ἐννέα, καὶ τὸ ἐκ τῆς Αὐλίδος εἰς Ἴλιον διαπλεῦσαι παρθένου βασιλικῆς. ἡ μὲν γὰρ Ἑκάβη τὸ μὴ ἁλῶναι τὴν πόλιν τότε ἐπρίατο παρὰ τῆς Ἀθηνᾶς βοῶν δώδεκα καὶ πέπλου. εἰκάζειν δὲ χρὴ πολλὰ εἶναι ἀλεκτρυόνος καὶ στεφάνου καὶ λιβανωτοῦ μόνου
παρʼ αὐτοῖς ὤνια."
,,,,3,,1,"ἃ μὲν γὰρ ἐν ταῖς θυσίαις οἱ μάταιοι
πράττουσι καὶ ταῖς ἑορταῖς καὶ προσόδοις τῶν θεῶν
καὶ ἃ αἰτοῦσι καὶ ἃ εὔχονται καὶ ἃ γιγνώσκουσι περὶ αὐτῶν, οὐκ οἶδα εἴ τις οὕτως κατηφής ἐστι καὶ λελυπημένος ὅστις οὐ γελάσεται τὴν
ἀβελτερίαν· ἐπιβλέψας τῶν δρωμένων. καὶ πολύ γε,
οἶμαι, πρότερον τοῦ γελᾶν πρὸς ἑαυτὸν ἐξετάσει
πότερον εὐσεβεῖς αὐτοὺς χρὴ καλεῖν ἢ τοὐναντίον θεοῖς ἐχθροὺς καὶ κακοδαίμονας, οἵ γε οὕτω ταπεινὸν καὶ ἀγεννὲς τὸ θεῖον ὑπειλήφασιν ὥστε
εἶναι ἀνθρώπων ἐνδεὲς καὶ κολακευόμενον ἥδεσθαι καὶ ἀγανακτεῖν ἀμελούμενον. τὰ γοὺν Αἰτωλικὰ πάθη καὶ τὰς τῶν Καλυδωνίων συμφορὰς καὶ τοὺς τοσούτους φόνους καὶ τὴν Μελεάγρου διάλυσιν, πάντα ταῦτα ἔργα φασὶν εἶναι τῆς Ἀρτέμιδος μεμψιμοιρούσης ὅτι
μὴ παρελήφθη πρὸς τὴν θυσίαν ὑπὸ τοῦ Οἰνέως·
οὕτως ἄρα βαθέως καθίκετο αὐτῆς ἡ τῶν ἱερείων
διαφορά καί μοι δοκῶ ὁρᾶν αὐτὴν ἐν τῷ
οὐρανῷ τότε μόνην τῶν ἄλλων θεῶν εἰς Οἰνέως
πεπορευμένων, δεινὰ ποιοῦσαν καὶ σχετλιάζουσαν οἵας ἑορτῆς ἀπολειφθήσεται."
,,,,3,,1,"τοὺς δʼ αὖ Αἰθίοπας καὶ μακαρίους καὶ τρισευδαίμονας εἴποι τις ἄν, εἴ γε ἀπομνημονεύει τὴν χάριν αὐτοῖς ὁ Ζεὺς ἣν πρὸς αὐτὸν ἐπεδείξαντο δώδεκα ἑξῆς ἡμέρας ἑστιάσαντες, καὶ ταῦτα ἐπαγόμενον καὶ τοὺς ἄλλους θεούς.
οὕτως οὐδέν, ὡς ἔοικεν, ἀμισθὶ ποιοῦσιν ὧν
ποιοῦσιν, ἀλλὰ πωλοῦσιν τοῖς ἀνθρώποις τἀγαθά, καὶ ἔνεστι πρίασθαι παρʼ αὐτῶν τὸ μὲν ὑγιαίνειν,
εἰ τύχοι, βοϊδίου, τὸ δὲ πλουτεῖν βοῶν τεττάρων,
τὸ δὲ βασιλεύειν ἑκατόμβης, τὸ δὲ σῶον ἐπανελθεῖν ἐξ Ἰλίου εἰς Πύλον ταύρων ἐννέα, καὶ τὸ ἐκ τῆς Αὐλίδος εἰς Ἴλιον διαπλεῦσαι παρθένου βασιλικῆς. ἡ μὲν γὰρ Ἑκάβη τὸ μὴ ἁλῶναι τὴν πόλιν τότε ἐπρίατο παρὰ τῆς Ἀθηνᾶς βοῶν δώδεκα καὶ πέπλου. εἰκάζειν δὲ χρὴ πολλὰ εἶναι ἀλεκτρυόνος καὶ στεφάνου καὶ λιβανωτοῦ μόνου
παρʼ αὐτοῖς ὤνια."
,,,,3,,1,"ταῦτά γε, οἶμαι, καὶ ὁ Χρύσης ἐπιστάμενος
ἅτε ἱερεὺς ὢν καὶ γέρων καὶ τὰ θεῖα σοφός, ἐπειδὴ ἄπρακτος ἀπῄει παρὰ τοῦ Ἀγαμέμνονος, ὡς ἂν καὶ προδανείσας τῷ Ἀπόλλωνι τὴν χάριν
δικαιολογεῖται καὶ ἀπαιτεῖ τὴν ἀμοιβὴν καὶ μόνον οὐκ ὀνειδίζει λέγων,
      
       ὦ βέλτιστε Ἄπολλον, ἐγὼ μέν
σου τὸν νεὼν τέως ἀστεφάνωτον ὄντα πολλάκις
ἐστεφάνωσα, καὶ τοσαῦτά σοι μηρία ταύρων τε καὶ αἰγῶν ἔκαυσα ἐπὶ τῶν βωμῶν, σὺ δὲ ἀμελεῖς μου τοιαῦτα πεπονθότος καὶ παρʼ οὐδὲν τίθεσαι
ʼτὸν εὐεργέτην.
      
      τοιγαροῦν οὕτω κατεδυσώπησεν
αὐτὸν ἐκ τῶν λόγων, ὥστε ἁρπασάμενος τὰ τόξα
      

      καὶ ἐπὶ τοῦ ναυστάθμου καθίσας ἑαυτὸν κατετόξευσε τῷ λοιμῷ τοὺς Ἀχαιοὺς αὐταῖς ἡμιόνοις καὶ κυσίν."
,,,,4,,1,"ἃ μὲν γὰρ ἐν ταῖς θυσίαις οἱ μάταιοι
πράττουσι καὶ ταῖς ἑορταῖς καὶ προσόδοις τῶν θεῶν
καὶ ἃ αἰτοῦσι καὶ ἃ εὔχονται καὶ ἃ γιγνώσκουσι περὶ αὐτῶν, οὐκ οἶδα εἴ τις οὕτως κατηφής ἐστι καὶ λελυπημένος ὅστις οὐ γελάσεται τὴν
ἀβελτερίαν· ἐπιβλέψας τῶν δρωμένων. καὶ πολύ γε,
οἶμαι, πρότερον τοῦ γελᾶν πρὸς ἑαυτὸν ἐξετάσει
πότερον εὐσεβεῖς αὐτοὺς χρὴ καλεῖν ἢ τοὐναντίον θεοῖς ἐχθροὺς καὶ κακοδαίμονας, οἵ γε οὕτω ταπεινὸν καὶ ἀγεννὲς τὸ θεῖον ὑπειλήφασιν ὥστε
εἶναι ἀνθρώπων ἐνδεὲς καὶ κολακευόμενον ἥδεσθαι καὶ ἀγανακτεῖν ἀμελούμενον. τὰ γοὺν Αἰτωλικὰ πάθη καὶ τὰς τῶν Καλυδωνίων συμφορὰς καὶ τοὺς τοσούτους φόνους καὶ τὴν Μελεάγρου διάλυσιν, πάντα ταῦτα ἔργα φασὶν εἶναι τῆς Ἀρτέμιδος μεμψιμοιρούσης ὅτι
μὴ παρελήφθη πρὸς τὴν θυσίαν ὑπὸ τοῦ Οἰνέως·
οὕτως ἄρα βαθέως καθίκετο αὐτῆς ἡ τῶν ἱερείων
διαφορά καί μοι δοκῶ ὁρᾶν αὐτὴν ἐν τῷ
οὐρανῷ τότε μόνην τῶν ἄλλων θεῶν εἰς Οἰνέως
πεπορευμένων, δεινὰ ποιοῦσαν καὶ σχετλιάζουσαν οἵας ἑορτῆς ἀπολειφθήσεται."
,,,,4,,1,"τοὺς δʼ αὖ Αἰθίοπας καὶ μακαρίους καὶ τρισευδαίμονας εἴποι τις ἄν, εἴ γε ἀπομνημονεύει τὴν χάριν αὐτοῖς ὁ Ζεὺς ἣν πρὸς αὐτὸν ἐπεδείξαντο δώδεκα ἑξῆς ἡμέρας ἑστιάσαντες, καὶ ταῦτα ἐπαγόμενον καὶ τοὺς ἄλλους θεούς.
οὕτως οὐδέν, ὡς ἔοικεν, ἀμισθὶ ποιοῦσιν ὧν
ποιοῦσιν, ἀλλὰ πωλοῦσιν τοῖς ἀνθρώποις τἀγαθά, καὶ ἔνεστι πρίασθαι παρʼ αὐτῶν τὸ μὲν ὑγιαίνειν,
εἰ τύχοι, βοϊδίου, τὸ δὲ πλουτεῖν βοῶν τεττάρων,
τὸ δὲ βασιλεύειν ἑκατόμβης, τὸ δὲ σῶον ἐπανελθεῖν ἐξ Ἰλίου εἰς Πύλον ταύρων ἐννέα, καὶ τὸ ἐκ τῆς Αὐλίδος εἰς Ἴλιον διαπλεῦσαι παρθένου βασιλικῆς. ἡ μὲν γὰρ Ἑκάβη τὸ μὴ ἁλῶναι τὴν πόλιν τότε ἐπρίατο παρὰ τῆς Ἀθηνᾶς βοῶν δώδεκα καὶ πέπλου. εἰκάζειν δὲ χρὴ πολλὰ εἶναι ἀλεκτρυόνος καὶ στεφάνου καὶ λιβανωτοῦ μόνου
παρʼ αὐτοῖς ὤνια."
,,,,4,,1,"ταῦτά γε, οἶμαι, καὶ ὁ Χρύσης ἐπιστάμενος
ἅτε ἱερεὺς ὢν καὶ γέρων καὶ τὰ θεῖα σοφός, ἐπειδὴ ἄπρακτος ἀπῄει παρὰ τοῦ Ἀγαμέμνονος, ὡς ἂν καὶ προδανείσας τῷ Ἀπόλλωνι τὴν χάριν
δικαιολογεῖται καὶ ἀπαιτεῖ τὴν ἀμοιβὴν καὶ μόνον οὐκ ὀνειδίζει λέγων,
      
       ὦ βέλτιστε Ἄπολλον, ἐγὼ μέν
σου τὸν νεὼν τέως ἀστεφάνωτον ὄντα πολλάκις
ἐστεφάνωσα, καὶ τοσαῦτά σοι μηρία ταύρων τε καὶ αἰγῶν ἔκαυσα ἐπὶ τῶν βωμῶν, σὺ δὲ ἀμελεῖς μου τοιαῦτα πεπονθότος καὶ παρʼ οὐδὲν τίθεσαι
ʼτὸν εὐεργέτην.
      
      τοιγαροῦν οὕτω κατεδυσώπησεν
αὐτὸν ἐκ τῶν λόγων, ὥστε ἁρπασάμενος τὰ τόξα
      

      καὶ ἐπὶ τοῦ ναυστάθμου καθίσας ἑαυτὸν κατετόξευσε τῷ λοιμῷ τοὺς Ἀχαιοὺς αὐταῖς ἡμιόνοις καὶ κυσίν."
,,,,4,,1,"ἐπεὶ δὲ ἅπαξ τοῦ Ἀπόλλωνος ἐμνήσθην, βούλομαι καὶ τὰ ἄλλα εἰπεῖν, ἃ περὶ αὐτοῦ οἱ σοφοὶ τῶν ἀνθρώπων λέγουσιν, οὐχ ὅσα περὶ τοὺς
ἔρωτας ἐδυστύχησεν οὐδὲ τοῦ Ὑακίνθου τὸν φόνον οὐδὲ τῆς Δάφνης τὴν ὑπεροψίαν, ἀλλʼ ὅτι καὶ καταγνωσθεὶς ἐπὶ τῷ τῶν Κυκλώπων θανάτῳ καὶ ἐξοστρακισθεὶς διὰ τοῦτο ἐκ τοῦ οὐρανοῦ, ἐπέμφθη εἰς τὴν γῆν ἀνθρωπίνῃ χρησόμενος τῇ
τύχῃ· ὅτε δὴ καὶ  ἐθήτευσεν ἐν Θετταλίᾳ παρὰ Ἀδμήτῳ καὶ ἐν Φρυγίᾳ παρὰ Λαομέδοντι, παρὰ τούτῳ μέν γε οὐ μόνος ἀλλὰ μετὰ τοῦ Ποσειδῶνος,
ἀμφότεροι πλινθεύοντες ὑπʼ ἀπορίας καὶ
ἐργαζόμενοι τὸ τεῖχος· καὶ οὐδὲ ἐντελῆ τὸν μισθὸν ἐκομίσαντο παρὰ τοῦ Φρυγός, ἀλλὰ προσώφειλεν αὐτοῖς πλέον ἢ τριάκοντα, φασί, δραχμὰς Τρωϊκάς."
