title,div_id,div_2_id,div_3_id,index_paragraph,index_annotation,mention,mention_without_space,thezoo_uri,id_concept,concept,start,end,annotation_lang,score,category
Departibusanimalium,book_1,chapter_1,section_1,1,1.0_it,scienza,scienza,<https://opentheso.huma-num.fr/?idc=pcrtgEqPFxaYUJ&idt=th310>,pcrtgEqPFxaYUJ,http://it.dbpedia.org/resource/Scienza,153,156,it,0.9979983231348559,
Departibusanimalium,book_1,chapter_1,section_1,1,1.0_en,Tina,Tina,, ,http://dbpedia.org/resource/Tina_Turner,200,203,en,0.6291688918836001,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person"
Departibusanimalium,book_1,chapter_1,section_1,1,1.1_en,verb,verb,, ,http://dbpedia.org/resource/Verb,600,603,en,0.9991220107629379,
Departibusanimalium,book_1,chapter_1,section_2,1,1.0_en,ox,ox,, ,http://dbpedia.org/resource/Ox,349,352,en,0.9333252795333792,
Departibusanimalium,book_1,chapter_1,section_2,1,1.1_en,respiration,respiration,<https://opentheso.huma-num.fr/?idc=105245&idt=th310>,105245,http://dbpedia.org/resource/Cellular_respiration,515,518,en,0.7914598817171938,
Departibusanimalium,book_1,chapter_1,section_4,1,1.0_it,astrologia,astrologia,, ,http://it.dbpedia.org/resource/Astrologia,224,227,it,0.9999930244753729,
Departibusanimalium,book_1,chapter_1,section_4,1,1.0_en,teon,teon,, ,http://dbpedia.org/resource/Primal_(comics),120,123,en,0.95509041248824,"Wikidata:Q95074,Wikidata:Q24229398,DUL:Agent,DBpedia:FictionalCharacter,DBpedia:Agent,DBpedia:ComicsCharacter"
Departibusanimalium,book_1,chapter_1,section_4,1,1.1_en,astrology,astrology,, ,http://dbpedia.org/resource/Astrology,242,245,en,0.9999258970992084,
Departibusanimalium,book_1,chapter_1,section_4,1,1.2_en,physicist,physicist,, ,http://dbpedia.org/resource/Physicist,270,273,en,0.9997517712193492,
Departibusanimalium,book_1,chapter_1,section_5,1,1.0_it,tinos,tinos,, ,http://it.dbpedia.org/resource/Tino_(Grecia),52,54,it,0.9913297561494876,"Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:PopulatedPlace"
