title,div_book_id,index_paragraph,index_annotation,mention,mention_without_space,concept,start,end,annotation_lang,score,category
Acut.sp.,1,1,1.0_it,ileo biliare,ileo_biliare,http://it.dbpedia.org/resource/Ileo_biliare,115,118,it,1.0,
Acut.sp.,1,1,1.1_it,febbre,febbre,http://it.dbpedia.org/resource/Febbre,135,138,it,1.0,"Wikidata:Q12136,DBpedia:Disease"
Acut.sp.,1,1,1.0_en,heartburn,heartburn,http://dbpedia.org/resource/Heartburn,8,9,en,0.9983876613813972,"Wikidata:Q12136,DBpedia:Disease"
Acut.sp.,1,1,1.1_en,ileus,ileus,http://dbpedia.org/resource/Ileus,104,107,en,0.999999999986386,"Wikidata:Q12136,DBpedia:Disease"
Acut.sp.,1,1,1.2_en,fever,fever,http://dbpedia.org/resource/Fever,138,141,en,0.9999999999823785,"Wikidata:Q12136,DBpedia:Disease"
Acut.sp.,1,2,2.0_it,uccello,uccello,http://it.dbpedia.org/resource/Aves,25,27,it,0.9999993138982655,DBpedia:Species
Acut.sp.,1,2,2.0_en,bird,bird,http://dbpedia.org/resource/Bird,28,30,en,0.9999801220023237,
Acut.sp.,1,2,2.1_en,hot flushes,hot_flushes,http://dbpedia.org/resource/Hot_flash,125,128,en,0.9999999999907345,"Wikidata:Q12136,DBpedia:Disease"
Acut.sp.,1,3,3.0_it,sonnolenza,sonnolenza,http://it.dbpedia.org/resource/Sonnolenza,135,138,it,0.9956624074047931,
Acut.sp.,1,3,3.0_en,sleepiness,sleepiness,http://dbpedia.org/resource/Somnolence,138,141,en,0.9970091438590506,"Wikidata:Q12136,DBpedia:Disease"
Acut.sp.,1,4,4.0_it,parallasse,parallasse,http://it.dbpedia.org/resource/Parallasse,15,17,it,0.9999989853028272,
Acut.sp.,1,4,4.0_en,parallax,parallax,http://dbpedia.org/resource/Parallax,6,7,en,0.6847597273062752,
Acut.sp.,1,5,5.0_en,milk,milk,http://dbpedia.org/resource/Milk,201,204,en,0.9997123327194969,
Acut.sp.,1,7,7.0_en,abscess,abscess,http://dbpedia.org/resource/Abscess,142,145,en,0.9999999994027462,"Wikidata:Q12136,DBpedia:Disease"
Acut.sp.,1,10,10.0_it,urina,urina,http://it.dbpedia.org/resource/Urina,17,19,it,0.9999995389066566,
Acut.sp.,1,10,10.0_en,urine,urine,http://dbpedia.org/resource/Urine,14,16,en,0.998974651720515,
Acut.sp.,1,11,11.1_it,vagina,vagina,http://it.dbpedia.org/resource/Vagina,40,42,it,1.0,
Acut.sp.,1,11,11.2_it,collo,collo,http://it.dbpedia.org/resource/Collo,84,86,it,0.999999999744432,
Acut.sp.,1,11,11.3_it,vomito,vomito,http://it.dbpedia.org/resource/Vomito,119,122,it,0.9999999999990337,"Wikidata:Q12136,DBpedia:Disease"
Acut.sp.,1,11,11.4_it,vulva,vulva,http://it.dbpedia.org/resource/Vulva,171,174,it,0.9999999999996021,
Acut.sp.,1,11,11.0_en,vagina,vagina,http://dbpedia.org/resource/Vagina,49,51,en,0.999885987446157,"Wikidata:Q4936952,DBpedia:AnatomicalStructure"
Acut.sp.,1,11,11.1_en,abscess,abscess,http://dbpedia.org/resource/Abscess,63,65,en,0.9999998265064258,"Wikidata:Q12136,DBpedia:Disease"
Acut.sp.,1,11,11.2_en,vulva,vulva,http://dbpedia.org/resource/Vulva,177,180,en,0.9999937886496106,"Wikidata:Q4936952,DBpedia:AnatomicalStructure"
Acut.sp.,2,1,1.0_it,salasso,salasso,http://it.dbpedia.org/resource/Salasso,32,34,it,0.9988827979178001,
Acut.sp.,2,1,1.1_it,Roma,Roma,http://it.dbpedia.org/resource/Roma,104,107,it,0.9998162452854993,"Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:PopulatedPlace"
Acut.sp.,2,1,1.0_en,phlebotomy,phlebotomy,http://dbpedia.org/resource/Phlebotomy,30,32,en,0.9833524080970657,
