work_title,author,editor,date,bookid,booktitle,index_paragraph,latin_text
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,1,"καῦσος γίγνεται, ὁκόταν ἀναξηρανθέντα τὰ φλέβια ἐν θερινῇ ὥρῃ ἐπισπάσηται δριμέας
					καὶ χολώδεας ἰχῶρας ἐς ἑωυτά· καὶ πυρετὸς πολὺς ἴσχει, τό τε σῶμα ὡς ὑπὸ κόπου
					ἐχόμενον κοπιᾷ καὶ ἀλγέει."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,2,"γίγνεται δὲ ὡς ἐπιτοπουλὺ καὶ ἐκ πορείης μακρῆς καὶ δίψεος μακροῦ, ὁκόταν
					ἀναξηρανθέντα τὰ φλέβια δριμέα καὶ θερμὰ Ῥεύματα ἐπισπάσηται."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,3,"γίγνεται δὲ ἡ γλῶσσα τρηχείη καὶ ξηρὴ καὶ μέλαινα κάρτα· καὶ τὰ περὶ τὴν νηδὺν
					δακνόμενος ἀλγέει· τά τε ὑποχωρήματα ἔξυγρα καὶ ὠχρὰ γίγνεται, καὶ δίψαι σφοδραὶ
					ἔνεισι, καὶ ἀγρυπνίη, ἐνίοτε δὲ καὶ"
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,4,παραλλάξιες φρενῶν.
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,5,"τῷ τοιῷδε δίδου πίνειν ὕδωρ τε καὶ μελίκρητον ἑφθὸν ὑδαρὲς ὁκόσον ἐθέλει· κἂν
					πικρὸν τὸ στόμα γίγνηται, ἐμέειν ξυμφέρει, καὶ τὴν κοιλίην ὑποκλύσαι· ἢν δὲ μὴ
					πρὸς ταῦτα λύηται, γάλα ὄνου ἑψήσας κάθαιρε."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,6,"ἁλμυρὸν δὲ μηδὲν μηδὲ δριμὺ προσφέρειν, οὐ γὰρ ὑποίσει· Ῥοφήματα δὲ, ἕως ἂν ἔξω
					τῶν κρισίμων γένηται, μὴ δίδου."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,7,"κἢν αἷμα ἐκ τῶν Ῥινῶν Ῥυῇ, λύεται τὸ πάθος, κἢν ἱδρῶτες ἐπιγένωνται κριτικοὶ
					γνήσιοι μετʼ οὔρων λευκῶν. παχέων καὶ λείων ὑφισταμένων, κἢν ἀπόστημά που
					γένηται· ἢν δʼ ἄνευ τούτων λυθῇ, ὑποστροφὴ πάλιν ἔσται τῆς ἀῤῬωστίης, ἢ ἰσχίων
					ἢ σκελέων ἄλγημα ξυμβήσεται, καὶ πτύσεται παχέα, ἢν μέλλῃ ὑγιὴς ἔσεσθαι."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,8,καύσου γένος ἄλλο.
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,9,"κοιλίη ὑπάγουσα, δίψης μεστὴ, γλῶσσα τρηχείη, ξηρὴ, ἁλυκώδης·"
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,10,οὔρων ἀπόληψις· ἀγρυπνίη· ἀκρωτήρια ἐψυγμένα.
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,11,"τῷ τοιούτῳ ἢν μὴ αἷμα ἐκ Ῥινῶν Ῥυῇ, ἢ ἀπόστημα περὶ τράχηλον γένηται, ἢ σκελέων
					ἄλγημα, καὶ πτύσματα παχέα πτύσῃ?̔ταῦτα δὲ ξυστάσης τῆς κοιλίης γίγνεται, ἢ
					ἰσχίου ὀδύνη, ἢ αἰδοίου πελίωμἀ, οὐ κρίνεται· καὶ ὄρχις ἐνταθεὶς κριτικόν."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,12,Ῥοφήματα ἐπισπαστικὰ δίδου.
Acut.sp.,Hippocrates,A.Littre,"June1,2005",2,2.,1,"καῦσος γίγνεται, ὁκόταν ἀναξηρανθέντα τὰ φλέβια ἐν θερινῇ ὥρῃ ἐπισπάσηται δριμέας
					καὶ χολώδεας ἰχῶρας ἐς ἑωυτά· καὶ πυρετὸς πολὺς ἴσχει, τό τε σῶμα ὡς ὑπὸ κόπου
					ἐχόμενον κοπιᾷ καὶ ἀλγέει."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",2,2.,2,"γίγνεται δὲ ὡς ἐπιτοπουλὺ καὶ ἐκ πορείης μακρῆς καὶ δίψεος μακροῦ, ὁκόταν
					ἀναξηρανθέντα τὰ φλέβια δριμέα καὶ θερμὰ Ῥεύματα ἐπισπάσηται."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",2,2.,3,"γίγνεται δὲ ἡ γλῶσσα τρηχείη καὶ ξηρὴ καὶ μέλαινα κάρτα· καὶ τὰ περὶ τὴν νηδὺν
					δακνόμενος ἀλγέει· τά τε ὑποχωρήματα ἔξυγρα καὶ ὠχρὰ γίγνεται, καὶ δίψαι σφοδραὶ
					ἔνεισι, καὶ ἀγρυπνίη, ἐνίοτε δὲ καὶ"
Acut.sp.,Hippocrates,A.Littre,"June1,2005",2,2.,4,παραλλάξιες φρενῶν.
