id,nom_canonique,identifiant,periode
1,AELIANUS SOPHISTES,tlg0545,antique (800 av. J.-C. - 300 ap. J.-C.)
2,ALBERTUS MAGNUS,viaf88125532,medieval (apres 700 ap. J.-C.)
3,AMBROSIUS,stoa0022,tardo-antique (300 - 700 ap. J.-C.)
4,ANTIGONUS,tlg0568,antique (800 av. J.-C. - 300 ap. J.-C.)
5,APOLLONIUS,tlg0569,antique (800 av. J.-C. - 300 ap. J.-C.)
6,APSYRTOS,wikidataQ456578,tardo-antique (300 - 700 ap. J.-C.)
7,ARISTOTELES,tlg0086,antique (800 av. J.-C. - 300 ap. J.-C.)
8,ARRIANUS,tlg0074,antique (800 av. J.-C. - 300 ap. J.-C.)
9,ARTEMIDORUS,tlg0553,antique (800 av. J.-C. - 300 ap. J.-C.)
10,ATHENAEUS,tlg0008,antique (800 av. J.-C. - 300 ap. J.-C.)
11,AVIANUS,stoa004,tardo-antique (300 - 700 ap. J.-C.)
12,BABRIUS,tlg0614,antique (800 av. J.-C. - 300 ap. J.-C.)
13,BASILIUS,tlg2040,tardo-antique (300 - 700 ap. J.-C.)
14,CASSIANUS BASSUS,tlg4080,tardo-antique (300 - 700 ap. J.-C.)
15,COLUMELLA,phi0845,antique (800 av. J.-C. - 300 ap. J.-C.)
16,DIODORE,tlg0060,antique (800 av. J.-C. - 300 ap. J.-C.)
17,ESOPUS,tlg0096,antique (800 av. J.-C. - 300 ap. J.-C.)
18,EUCHERIUS,stoa0117,tardo-antique (300 - 700 ap. J.-C.)
19,GALENUS,tlg0057,antique (800 av. J.-C. - 300 ap. J.-C.)
20,GRATTIUS,phi0887,antique (800 av. J.-C. - 300 ap. J.-C.)
21,HERODOTUS,tlg0016,antique (800 av. J.-C. - 300 ap. J.-C.)
22,HESIODUS,tlg0020,antique (800 av. J.-C. - 300 ap. J.-C.)
23,HIEROCLES,mirabile222866,tardo-antique (300 - 700 ap. J.-C.)
24,HIPPOCRATES,tlg0627,antique (800 av. J.-C. - 300 ap. J.-C.)
25,ISIDORUS HISPALENSIS,stoa0159,tardo-antique (300 - 700 ap. J.-C.)
26,LUCIANUS SAMOSATENSIS,tlg0062,antique (800 av. J.-C. - 300 ap. J.-C.)
27,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",stoa0209,antique (800 av. J.-C. - 300 ap. J.-C.)
28,NICANDER COLOPHONIUS,tlg0022,antique (800 av. J.-C. - 300 ap. J.-C.)
29,OPPIANUS-1,tlg0023,antique (800 av. J.-C. - 300 ap. J.-C.)
30,OPPIANUS-2,tlg0024,antique (800 av. J.-C. - 300 ap. J.-C.)
31,OVIDIUS,stoa0216,antique (800 av. J.-C. - 300 ap. J.-C.)
32,PHAEDRUS,phi0975,antique (800 av. J.-C. - 300 ap. J.-C.)
42,PLATO,tlg0059,antique (800 av. J.-C. - 300 ap. J.-C.)
43,PLINIUS MAJOR,phi0978,antique (800 av. J.-C. - 300 ap. J.-C.)
44,PLUTARCHUS,tlg0007,antique (800 av. J.-C. - 300 ap. J.-C.)
45,PORPHYRIUS,tlg2034,antique (800 av. J.-C. - 300 ap. J.-C.)
46,PS-DIOSCORIDE,tlg1118,antique (800 av. J.-C. - 300 ap. J.-C.)
47,DENYS (pseudo),tlg0084,tardo-antique (300 - 700 ap. J.-C.)
48,SEMONIDES AMORGINUS,tlg0260,antique (800 av. J.-C. - 300 ap. J.-C.)
49,STRABO,tlg0099,antique (800 av. J.-C. - 300 ap. J.-C.)
50,STRATO LAMPSACENUS,tlg1696,antique (800 av. J.-C. - 300 ap. J.-C.)
51,THEOMNESTOS,wikidataQ679536,tardo-antique (300 - 700 ap. J.-C.)
52,THEOPHRASTUS,tlg0093,antique (800 av. J.-C. - 300 ap. J.-C.)
54,TIMOTHEUS GAZAEUS,tlg2449,tardo-antique (300 - 700 ap. J.-C.)
55,VARRO,phi0684,antique (800 av. J.-C. - 300 ap. J.-C.)
57,XENOPHON,tlg0032,antique (800 av. J.-C. - 300 ap. J.-C.)
58,PETRUS GALLECUS,viaf79204298,medieval (apres 700 ap. J.-C.)
60,CONRAD DE HALBERSTADT,viaf67263708,medieval (apres 700 ap. J.-C.)
61,ENGELBERTUS ADMONTENSIS,viaf36891982,medieval (apres 700 ap. J.-C.)
62,IOHANNES DE CUBA,viaf49269039,medieval (apres 700 ap. J.-C.)
63,IOHANNES EGIDIUS ZAMORENSIS,viaf18034405,medieval (apres 700 ap. J.-C.)
64,IOHANNES DE SANCTO GEMINIANO,mirabile20323,medieval (apres 700 ap. J.-C.)
65,MARCUS DE URBE VETERI,pas didentifiant auteur trouve,medieval (apres 700 ap. J.-C.)
66,THOMAS CANTIMPRATENSIS,viaf100174374,medieval (apres 700 ap. J.-C.)
68,VINCENTIUS BELVACENSIS,viaf105133420,medieval (apres 700 ap. J.-C.)
69,PHILO ALEXANDRINUS,tlg0018,antique (800 av. J.-C. - 300 ap. J.-C.)
70,PHILOUMENOS,tlg0671,antique (800 av. J.-C. - 300 ap. J.-C.)
71,PHYSIOLOGUS,tlg2654,tardo-antique (300 - 700 ap. J.-C.)
75,PHYSIOLOGUS LATINUS B,digiliblt.DLT000410,tardo-antique (300 - 700 ap. J.-C.)
77,PHYSIOLOGUS LATINUS Y,digiliblt.DLT000533,tardo-antique (300 - 700 ap. J.-C.)
79,HILDEBERTUS CENOMANENSIS,viaf282035032,medieval (apres 700 ap. J.-C.)
80,HIPPIATRICA,tlg0738,tardo-antique (300 - 700 ap. J.-C.)
81,EUTECNIUS,tlg0752,tardo-antique (Ve siecle ap. J.-C.)
82,ANONYME,anon_halieutica_oppien,tardo-antique (paraphraste des Halieutiques d'Oppien)
83,PHYSIOLOGUS LATINUS D,pas didentifiant auteur trouve D,
84,PHYSIOLOGUS LATINUS X,pas didentifiant auteur trouve X,
